City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Hervey Bay,AU,54.82,clear sky,-25.2986,152.8535,Shelly Bay Resort
204,Hammerum,DK,54.43,broken clouds,56.1336,9.0612,Østergaards Hotel
205,Saint-Pierre,RE,70.92,clear sky,-21.3393,55.4781,Alize Plage
206,Port Hardy,CA,64.58,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
207,Kosh-Agach,RU,44.4,clear sky,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
208,Baracoa,CU,84.78,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
209,Trairi,BR,77.72,clear sky,-3.2778,-39.2689,janelas do mar
211,Upernavik,GL,38.91,broken clouds,72.7868,-56.1549,Café de Upernavik
212,Likasi,CD,58.05,clear sky,-10.9814,26.7333,TABERNACLE DE LIKASI
213,Minab,IR,89.92,overcast clouds,27.1467,57.0801,Bam campground
214,San Juan,AR,59.22,clear sky,-31.5375,-68.5364,Hotel Provincial
216,Corinth,GR,78.42,clear sky,37.9407,22.9573,Ephira Hotel
217,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
218,Cherskiy,RU,54.59,overcast clouds,68.75,161.3,Gostinitsa
219,Saldanha,ZA,51.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
220,Kadhan,PK,82.67,overcast clouds,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
221,Lishu,CN,64.51,overcast clouds,43.3047,124.3278,Su Camp Business Hotel
223,Khatanga,RU,45.66,broken clouds,71.9667,102.5,"""Khatanga"""
224,Maragogi,BR,75.13,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
225,Hamilton,US,88.5,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
226,Nellikkuppam,IN,83.7,overcast clouds,11.7667,79.6833,கௌரி இல்லம்
228,Nurota,UZ,73.74,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
229,Kawalu,ID,69.82,overcast clouds,-7.3817,108.2082,West Jontor
230,Bourail,NC,75.58,moderate rain,-21.5667,165.4833,Motel Allamanda
231,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
232,Ivancsa,HU,62.96,clear sky,47.1567,18.8203,Pompos Pizzéria
233,Touros,BR,76.51,few clouds,-5.1989,-35.4608,INN NEW HORIZON
234,Wilmington,US,76.95,moderate rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
235,Coahuayana,MX,90.93,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
236,Jumla,NP,62.08,overcast clouds,29.2747,82.1838,Royal Garden Hotel
237,Igarka,RU,46.04,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
239,Karoi,ZW,54.05,clear sky,-16.8099,29.6925,Chikangwe Guest houses
240,West Wendover,US,90.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
242,Thanesar,IN,85.68,broken clouds,29.9833,76.8167,Hotel M.G Grand
243,Batagay,RU,59.49,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
244,Chongwe,ZM,54.64,clear sky,-15.3292,28.682,Grakas Lodge
245,Newburyport,US,85.37,few clouds,42.8126,-70.8773,Fairfield Inn by Marriott Amesbury
246,Kavieng,PG,81.48,light rain,-2.5744,150.7967,Nusa Island Retreat
247,Bilibino,RU,46.4,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
248,Adiake,CI,74.62,broken clouds,5.2863,-3.304,HOTEL COEUR D'OR
249,Caravelas,BR,70.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
253,Beira,MZ,66.29,clear sky,-19.8436,34.8389,Beira Terrace Hotel
254,Bloomfield,US,87.21,clear sky,40.8068,-74.1854,Troy Carroll
255,Sterling,US,84.94,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
