City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Kavos,GR,38.8268,22.8322,77.97,66,7,1.86,clear sky
203,Hervey Bay,AU,-25.2986,152.8535,54.82,82,2,14.72,clear sky
204,Hammerum,DK,56.1336,9.0612,54.43,82,78,6.91,broken clouds
205,Saint-Pierre,RE,-21.3393,55.4781,70.92,70,0,8.05,clear sky
206,Port Hardy,CA,50.6996,-127.4199,64.58,77,75,8.05,broken clouds
207,Kosh-Agach,RU,50.0,88.6667,44.4,84,1,0.18,clear sky
208,Baracoa,CU,20.3467,-74.4958,84.78,69,100,6.38,overcast clouds
209,Trairi,BR,-3.2778,-39.2689,77.72,82,8,9.62,clear sky
210,Hermosillo,MX,29.0667,-110.9667,107.55,25,5,4.0,clear sky
211,Upernavik,GL,72.7868,-56.1549,38.91,84,54,4.25,broken clouds
212,Likasi,CD,-10.9814,26.7333,58.05,55,5,2.48,clear sky
213,Minab,IR,27.1467,57.0801,89.92,70,100,2.3,overcast clouds
214,San Juan,AR,-31.5375,-68.5364,59.22,22,10,18.25,clear sky
215,Thinadhoo,MV,0.5333,72.9333,82.6,75,100,7.49,overcast clouds
216,Corinth,GR,37.9407,22.9573,78.42,52,3,0.83,clear sky
217,The Valley,AI,18.217,-63.0578,86.14,70,20,14.97,few clouds
218,Cherskiy,RU,68.75,161.3,54.59,50,96,9.66,overcast clouds
219,Saldanha,ZA,-33.0117,17.9442,51.85,77,46,5.44,scattered clouds
220,Kadhan,PK,24.481,68.9859,82.67,82,100,11.7,overcast clouds
221,Lishu,CN,43.3047,124.3278,64.51,89,94,5.59,overcast clouds
222,Lamar,US,33.6668,-95.5836,102.97,43,40,5.75,scattered clouds
223,Khatanga,RU,71.9667,102.5,45.66,64,80,12.88,broken clouds
224,Maragogi,BR,-9.0122,-35.2225,75.13,80,3,10.65,clear sky
225,Hamilton,US,39.1834,-84.5333,88.5,52,40,10.36,scattered clouds
226,Nellikkuppam,IN,11.7667,79.6833,83.7,60,100,9.8,overcast clouds
227,Hays,US,30.0502,-98.0336,107.96,33,59,8.01,broken clouds
228,Nurota,UZ,40.5614,65.6886,73.74,29,0,1.95,clear sky
229,Kawalu,ID,-7.3817,108.2082,69.82,94,87,1.45,overcast clouds
230,Bourail,NC,-21.5667,165.4833,75.58,83,13,5.08,moderate rain
231,Hasaki,JP,35.7333,140.8333,75.6,90,0,2.08,clear sky
232,Ivancsa,HU,47.1567,18.8203,62.96,52,0,15.99,clear sky
233,Touros,BR,-5.1989,-35.4608,76.51,81,11,15.97,few clouds
234,Wilmington,US,34.2257,-77.9447,76.95,87,100,8.05,moderate rain
235,Coahuayana,MX,18.7333,-103.6833,90.93,56,69,7.94,broken clouds
236,Jumla,NP,29.2747,82.1838,62.08,91,96,1.79,overcast clouds
237,Igarka,RU,67.4667,86.5833,46.04,68,100,7.67,overcast clouds
238,Kouango,CF,4.9934,19.9619,71.65,94,100,2.86,overcast clouds
239,Karoi,ZW,-16.8099,29.6925,54.05,59,0,3.09,clear sky
240,West Wendover,US,40.7391,-114.0733,90.61,11,0,9.22,clear sky
241,Marabba,SD,12.35,32.1833,83.43,59,100,10.71,overcast clouds
242,Thanesar,IN,29.9833,76.8167,85.68,66,71,3.47,broken clouds
243,Batagay,RU,67.6333,134.6333,59.49,76,100,3.27,overcast clouds
244,Chongwe,ZM,-15.3292,28.682,54.64,68,0,2.59,clear sky
245,Newburyport,US,42.8126,-70.8773,85.37,44,18,11.01,few clouds
246,Kavieng,PG,-2.5744,150.7967,81.48,78,58,11.54,light rain
247,Bilibino,RU,68.0546,166.4372,46.4,69,50,2.93,scattered clouds
248,Adiake,CI,5.2863,-3.304,74.62,85,77,7.25,broken clouds
249,Caravelas,BR,-17.7125,-39.2481,70.88,79,5,4.43,clear sky
250,Tubuala,PA,9.5167,-79.0333,81.82,83,91,5.26,overcast clouds
251,Kaniama,CD,-7.5667,24.1833,70.7,33,2,3.69,clear sky
252,Saint George,US,37.1041,-113.5841,107.8,11,0,9.22,clear sky
253,Beira,MZ,-19.8436,34.8389,66.29,100,0,5.75,clear sky
